City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Thompson,CA,2022-11-08 23:00:48,55.7435,-97.8558,6.96,85,100,8.05
90,Kodiak,US,2022-11-08 23:04:25,57.79,-152.4072,42.31,100,100,18.41
91,Mount Isa,AU,2022-11-08 23:04:26,-20.7333,139.5,89.37,37,5,9.22
92,Tessalit,ML,2022-11-08 23:04:26,20.1986,1.0114,72.66,15,0,10.2
93,Arraial Do Cabo,BR,2022-11-08 23:05:26,-22.9661,-42.0278,69.33,90,100,7.7
94,Stoughton,US,2022-11-08 23:03:36,42.1251,-71.1023,48.15,39,0,8.05
95,Nanortalik,GL,2022-11-08 23:05:27,60.1432,-45.2371,27.34,70,25,9.26
96,Avarua,CK,2022-11-08 22:58:34,-21.2078,-159.775,77.05,65,75,11.5
97,Qaanaaq,GL,2022-11-08 23:05:27,77.484,-69.3632,-11.11,73,22,7.56
98,Vila Franca Do Campo,PT,2022-11-08 23:05:28,37.7167,-25.4333,64.81,83,23,6.46
99,Cape Town,ZA,2022-11-08 22:57:08,-33.9258,18.4232,65.37,71,20,6.91
100,Jamestown,US,2022-11-08 23:05:28,42.097,-79.2353,44.24,65,0,11.5
101,Fairbanks,US,2022-11-08 23:05:24,64.8378,-147.7164,25.09,86,75,0.0
102,Brokopondo,SR,2022-11-08 23:05:29,4.75,-55.1667,78.48,83,100,5.44
103,Vardo,NO,2022-11-08 23:05:29,70.3705,31.1107,39.18,81,75,11.5
104,Tiznit,MA,2022-11-08 23:05:29,29.5833,-9.5,66.04,42,6,0.98
105,Albany,US,2022-11-08 22:58:44,42.6001,-73.9662,43.66,47,0,5.46
106,Sobolevo,RU,2022-11-08 23:05:30,54.4299,31.8996,45.55,94,100,9.98
107,Ancud,CL,2022-11-08 22:58:46,-41.8697,-73.8203,56.26,87,96,3.42
108,Severo-Kurilsk,RU,2022-11-08 22:58:33,50.6789,156.125,36.18,61,90,12.77
109,Bojnurd,IR,2022-11-08 23:05:30,37.4747,57.329,37.38,46,97,7.38
110,Manaus,BR,2022-11-08 23:05:31,-3.1019,-60.025,82.9,74,20,3.44
111,Tiksi,RU,2022-11-08 23:05:31,71.6872,128.8694,-9.47,97,97,8.9
112,Yurginskoye,RU,2022-11-08 23:05:32,56.8189,67.3921,27.41,95,96,7.36
113,Kalmunai,LK,2022-11-08 23:05:32,7.4167,81.8167,75.94,92,100,8.88
114,Xining,CN,2022-11-08 23:05:32,36.6167,101.7667,39.11,70,25,0.69
115,Sumbe,AO,2022-11-08 23:05:33,-11.2061,13.8437,75.99,85,96,9.78
116,Aleksandrov Gay,RU,2022-11-08 23:05:33,50.147,48.5704,32.81,80,71,7.61
117,Half Moon Bay,US,2022-11-08 23:00:43,37.4636,-122.4286,56.17,76,0,11.5
118,Elizabeth City,US,2022-11-08 23:05:33,36.2946,-76.2511,56.01,73,0,18.41
119,Pevek,RU,2022-11-08 23:05:34,69.7008,170.3133,-7.13,100,91,3.47
120,Port Lincoln,AU,2022-11-08 22:58:34,-34.7333,135.8667,70.86,61,100,17.52
121,Upernavik,GL,2022-11-08 23:05:34,72.7868,-56.1549,4.68,63,24,7.14
122,Kaeo,NZ,2022-11-08 23:05:34,-35.1,173.7833,69.33,83,31,3.22
123,Mwinilunga,ZM,2022-11-08 23:05:35,-11.7358,24.4293,62.01,98,100,1.88
124,Butaritari,KI,2022-11-08 22:58:34,3.0707,172.7902,80.74,75,60,10.45
125,Ilo,PE,2022-11-08 23:05:35,-17.6394,-71.3375,63.97,82,18,3.6
126,Kampot,KH,2022-11-08 23:05:35,10.6167,104.1833,77.05,85,100,3.98
127,Cartagena,CO,2022-11-08 23:05:36,10.3997,-75.5144,78.84,82,100,7.25
128,Ostrovnoy,RU,2022-11-08 23:05:36,68.0531,39.5131,35.08,85,75,2.46
129,Carnarvon,AU,2022-11-08 22:58:35,-24.8667,113.6333,67.64,61,1,9.51
130,Nome,US,2022-11-08 23:00:49,64.5011,-165.4064,35.67,87,100,17.27
131,Quatre Cocos,MU,2022-11-08 23:05:37,-20.2078,57.7625,72.09,74,69,9.86
132,Jarwal,IN,2022-11-08 23:05:37,27.1667,81.55,68.86,72,0,1.14
133,Olafsvik,IS,2022-11-08 23:05:37,64.8945,-23.7142,41.16,89,100,19.48
134,Aktash,RU,2022-11-08 23:05:38,50.3,87.7333,21.04,92,100,2.53
135,Maun,BW,2022-11-08 23:05:38,-19.9833,23.4167,75.88,36,3,5.03
136,Atuona,PF,2022-11-08 23:02:09,-9.8,-139.0333,77.31,73,48,14.79
137,Puerto Rico,AR,2022-11-08 23:04:29,-26.796,-55.024,64.62,62,2,1.86
138,Vega De Alatorre,MX,2022-11-08 23:06:39,20.0333,-96.6333,79.02,77,13,10.22
139,Tura,IN,2022-11-08 23:05:45,25.5198,90.2201,64.04,90,0,3.96
140,San Patricio,US,2022-11-08 23:06:39,28.017,-97.5169,81.18,65,30,12.21
141,Itarema,BR,2022-11-08 22:55:00,-2.9248,-39.9167,78.49,76,48,13.09
142,Cocobeach,GA,2022-11-08 23:06:40,1.0002,9.5823,79.14,85,100,8.46
143,Wajima,JP,2022-11-08 23:06:40,37.4,136.9,55.99,55,5,1.41
144,Potiskum,NG,2022-11-08 23:06:40,11.7091,11.0694,77.47,26,78,8.28
145,Guerrero Negro,MX,2022-11-08 23:06:41,27.9769,-114.0611,70.74,57,26,13.67
146,Oussouye,SN,2022-11-08 23:06:41,12.485,-16.5469,78.84,71,98,7.02
147,Palana,RU,2022-11-08 23:06:41,59.1167,159.9667,16.27,82,82,14.0
148,Bandar,ID,2022-11-08 23:06:42,2.05,99.75,71.76,98,100,1.59
